"","Address","Zip","Price","Area","Room","Lon","Lat"
"300","Pontsteiger 137, Amsterdam","1014 ZP",950000,94,1,4.886388,52.393577
"301","Nieuwe Nieuwstraat 28, Amsterdam","1012 NH",849000,120,3,4.893709,52.375387
"302","Badhuiskade 353, Amsterdam","1031 KV",3680000,374,4,4.905695,52.385321
"303","Witte de Withstraat 20 AH, Amsterdam","1057 XW",850000,149,7,4.859626,52.365326
"304","Mauvestraat 56 II+III, Amsterdam","1073 RN",750750,114,4,4.902864,52.349279
"305","Oudezijds Voorburgwal 126 A+B, Amsterdam","1012 GH",1400000,213,7,4.897256,52.373343
"306","Singel 318, Amsterdam","1016 AE",4900000,623,13,4.887869,52.371039
"307","Termietergouw 6 A, Amsterdam","1027 AD",899000,128,5,4.960756,52.409584
"308","Termietergouw 6, Amsterdam","1027 AD",895000,95,3,4.960756,52.409584
"309","Broekergouw 4, Amsterdam","1027 AH",1695000,467,14,4.97083,52.412038
"310","Cliostraat 12 III, Amsterdam","1077 KG",1085000,131,5,4.876231,52.347558
"311","Ward Bingleystraat 1, Amsterdam","1065 TJ",3e+05,30,3,4.832087,52.354406
"312","Rapenburgerplein 8 A, Amsterdam","1011 VB",649000,82,3,4.910725,52.370289
"313","Rapenburgerplein 8 B, Amsterdam","1011 VB",785000,105,5,4.910725,52.370289
"314","Willem Mollhof 3, Amsterdam","1065 AH",565000,94,3,4.825673,52.361323
"315","De Bleeckster 1, Amsterdam","1035 RW",1395000,133,3,4.898884,52.418864
"316","Prinsengracht 460 A, Amsterdam","1017 KE",795000,102,3,4.884579,52.364626
"317","Eerste Looiersdwarsstraat 24 E, Amsterdam","1016 VM",1200000,121,4,4.881097,52.368746
"318","Herengracht 553 I, Amsterdam","1017 BW",995000,146,3,4.895233,52.365084
"319","Prinsengracht 1031 C, Amsterdam","1017 KP",775000,127,3,4.895121,52.361947
"320","Prinsengracht 1035 D, Amsterdam","1017 KP",825000,148,3,4.895224,52.361929
"321","Uilengouw 2, Amsterdam","1027 EZ",1249000,258,5,4.967897,52.410672
"322","Haarlemmerweg 705, Amsterdam","1067 HP",NA,366,12,4.787874,52.383877
"323","Pieter van der Werfstraat 44, Amsterdam","1067 EP",380000,100,4,4.80256,52.380679
"324","Claus van Amsbergstraat 45, Amsterdam","1102 AZ",450000,120,5,4.956167,52.317822
"325","Sumatrakade 1523, Amsterdam","1019 RS",399000,66,2,4.923315,52.379524
"326","Marnixstraat 255 H, Amsterdam","1015 WH",650000,102,3,4.877436,52.375551
"327","Oostakkerstraat 95, Amsterdam","1066 HR",485000,109,1,4.817309,52.345051
"328","Eerste Helmersstraat 183 III, Amsterdam","1054 DT",1599000,139,5,4.868596,52.361672
"329","Noorderakerweg 124, Amsterdam","1069 LW",950000,226,7,4.776234,52.349215
"330","Ringvaartdijk 28, Amsterdam","1066 DE",629000,127,4,4.794478,52.338652
"331","Schellingwouderdijk 352 e, Amsterdam","1023 NM",359000,69,4,4.965813,52.381514
"332","Zeeburgerdijk 585, Amsterdam","1095 AE",419000,75,4,4.952089,52.36658
"333","Bernard Shawsingel 250, Amsterdam","1102 VE",250000,60,3,4.945909,52.320409
"334","Reigersbos 79, Amsterdam","1106 AP",320000,104,5,4.976237,52.296421
"335","Singel 146 A, Amsterdam","1015 AG",3500000,348,8,4.889816,52.375532
"336","Clara Zetkinstraat 58, Amsterdam","1103 DH",415000,115,4,4.961952,52.321743
"337","Sarphatistraat 478, Amsterdam","1018 GW",750000,124,5,4.918831,52.363292
"338","Rupelmonde 10, Amsterdam","1081 GP",420000,73,3,4.859128,52.327841
"339","Westerdoksdijk 375, Amsterdam","1013 AD",525000,63,3,4.892914,52.384794
"340","Cor van Weelehof 3, Amsterdam","1087 GL",550000,107,4,4.997979,52.354825
"341","Linnaeusstraat 243 1., Amsterdam","1093 ER",450000,60,4,4.928173,52.355788
"342","Herculesstraat 124 I, Amsterdam","1076 ST",425000,54,3,4.861234,52.346145
"343","Akoleienstraat 8 4, Amsterdam","1016 LN",699000,108,6,4.878139,52.373119
"344","Amsteldijk 64, Amsterdam","1074 HZ",675000,95,3,4.906809,52.353645
"345","Hoofdweg 34 H, Amsterdam","1058 BD",1150000,150,5,4.853623,52.360284
"346","Wiborgeiland 146 PP, Amsterdam","1014 ZC",1250000,131,4,4.878356,52.394101
"347","Wiborgeiland 147 PP, Amsterdam","1014 ZC",1450000,158,4,4.878463,52.394178
"348","Nieuwevaart 10 4V, Amsterdam","1018 AA",240000,26,1,4.913448,52.370666
"349","Klaas Katerstraat 118, Amsterdam","1069 RT",345000,80,3,4.795934,52.350007
"350","Rozenstraat 80 E, Amsterdam","1016 NX",425000,56,3,4.880816,52.37278
"351","Charlotte Brontéstraat 152, Amsterdam","1102 XH",250000,60,2,4.947171,52.325081
"352","Vrolikstraat 292 1, Amsterdam","1092 VA",485000,59,3,4.925675,52.358255
"353","Overtoom 184 III, Amsterdam","1054 HR",1200000,166,5,4.872275,52.362146
"354","Johan Huizingalaan 310 I, Amsterdam","1065 JN",325000,71,4,4.827036,52.353376
"355","Blauwvoetstraat 59, Amsterdam","1061 BM",275000,39,2,4.839165,52.37701
"356","Dikninge 105, Amsterdam","1083 VA",365000,78,3,4.886519,52.331919
"357","Wethouder In 't Veldstraat 77, Amsterdam","1107 AX",3e+05,84,4,4.991578,52.293948
"358","Amaliastraat 16 H, Amsterdam","1052 GP",485000,67,3,4.874335,52.379574
"359","Marnixkade 26 III, Amsterdam","1015 XP",725000,87,4,4.881073,52.382434
"360","Pieter Calandlaan 724, Amsterdam","1060 TX",325000,87,3,4.788052,52.349876
"361","Barbusselaan 261, Amsterdam","1102 TV",225000,61,3,4.945309,52.319741
"362","Revaleiland 383, Amsterdam","1014 ZG",690000,100,3,4.881116,52.393955
"363","Marnixkade 89 1A, Amsterdam","1015 ZH",250000,28,1,4.877315,52.376658
"364","Kanaalstraat 11 3/4, Amsterdam","1054 WX",825000,114,3,4.866454,52.362822
"365","Groenhoven 358, Amsterdam","1103 LK",239000,53,3,4.977675,52.324231
"366","Bilderdijkstraat 180 II, Amsterdam","1053 LD",4e+05,49,2,4.872222,52.366766
"367","Warmondstraat 176 2, Amsterdam","1058 LB",430000,58,3,4.849307,52.35303
"368","Linnaeusparkweg 224 HS, Amsterdam","1098 ER",485000,65,3,4.940682,52.349698
"369","Hoofdweg 241 III, Amsterdam","1057 CW",3e+05,44,2,4.85225,52.367037
"370","Roelof Hartstraat 13 II, Amsterdam","1071 VE",550000,61,3,4.884848,52.352502
"371","Marcantilaan 123, Amsterdam","1051 LW",325000,41,2,4.867459,52.375562
"372","Bilderdijkstraat 201 2, Amsterdam","1053 KS",250000,29,2,4.872989,52.366428
"373","Orteliusstraat 279 3, Amsterdam","1056 NV",675000,109,3,4.8479,52.372221
"374","Baden Powellweg 107, Amsterdam","1069 LD",295000,91,4,4.795401,52.348468
"375","Waterlandplein 290 E, Amsterdam","1024 NB",350000,92,3,4.954434,52.393227
"376","Wethouder Ramstraat 11, Amsterdam","1107 CM",375000,98,5,4.990488,52.292974
"377","Willem de Zwijgerlaan 309 I, Amsterdam","1055 PZ",360000,53,2,4.860817,52.380045
"378","Cosmariumstraat 9, Amsterdam","1035 VS",325000,85,4,4.901357,52.419916
"379","Antony Moddermanstraat 222 HS, Amsterdam","1063 NA",250000,61,2,4.812509,52.383676
"380","Insulindeweg 920, Amsterdam","1095 DX",550000,102,3,4.945592,52.362164
"381","Loggerhof 149, Amsterdam","1034 CG",325000,76,3,4.910084,52.406722
"382","Bataviastraat 67 C, Amsterdam","1095 EP",235000,26,2,4.944758,52.36173
"383","Kuipersstraat 43 2, Amsterdam","1074 EE",450000,56,2,4.904866,52.354123
"384","Poederooienstraat 97, Amsterdam","1106 CG",245000,71,3,4.98042,52.299114
"385","Stadionweg 61 2, Amsterdam","1077 SC",1400000,153,4,4.875155,52.346664
"386","Spadinalaan 53, Amsterdam","1031 KB",650000,90,3,4.900901,52.386904
"387","Westlandgracht 139 H, Amsterdam","1059 TG",465000,67,3,4.846172,52.351371
"388","Cliostraat 61 I, Amsterdam","1077 KE",735000,104,3,4.87459,52.347318
"389","Stadhouderskade 153 A, Amsterdam","1074 BC",675000,93,4,4.902853,52.358348
"390","Erasmusgracht 552 PP, Amsterdam","1061 BL",425000,78,2,4.837463,52.376658
"391","Silodam 446, Amsterdam","1013 AW",635000,90,3,4.891367,52.389872
"392","Bilderdijkstraat 177 2A, Amsterdam","1053 KR",3e+05,35,1,4.872597,52.366735
"393","Arènpalmstraat 24, Amsterdam","1104 DB",375000,99,4,4.981355,52.320364
"394","Van Ostadestraat 27 1, Amsterdam","1072 SM",3e+05,35,2,4.888159,52.351789
"395","Vincent van Goghstraat 19, Amsterdam","1072 KJ",910000,136,5,4.888188,52.3492
"396","Geervliet 20 A, Amsterdam","1082 NT",385000,65,3,4.87989,52.331729
"397","Jacob van Lennepstraat 17 I, Amsterdam","1053 HA",775000,93,3,4.875949,52.366908
"398","Oogststraat 81, Amsterdam","1097 ZS",349500,51,3,4.941752,52.339554
"399","Egidiusstraat 17 1, Amsterdam","1055 GL",375000,65,3,4.852493,52.377329
"400","Bentinckstraat 95 3, Amsterdam","1051 GJ",325000,41,2,4.871342,52.383093
"401","Dickenslaan 146, Amsterdam","1102 ZW",295000,89,4,4.945355,52.323983
"402","Gibraltarstraat 105 hs, Amsterdam","1055 NM",345000,50,2,4.849011,52.384683
"403","Ruimzicht 296, Amsterdam","1068 CZ",325000,88,3,4.809676,52.361641
"404","Stoutenburggracht 11, Amsterdam","1107 KW",245000,73,3,4.98366,52.294299
"405","Eerste Jan Steenstraat 112 2, Amsterdam","1072 NR",650000,70,3,4.892242,52.354197
"406","Mercatorstraat 15 III, Amsterdam","1056 PW",450000,56,4,4.850735,52.370868
"407","Komijnstraat 24, Amsterdam","1104 HP",525000,176,5,4.986145,52.316165
"408","Nicolaas Anslijnstraat 108, Amsterdam","1068 WT",315000,81,3,4.80824,52.357393
"409","Aurikelstraat 5, Amsterdam","1032 AP",5e+05,83,4,4.917034,52.395677
"410","Barentszstraat 205, Amsterdam","1013 NM",285000,36,2,4.887419,52.388788
"411","Warmoesstraat 139 A, Amsterdam","1012 JB",6e+05,116,4,4.895989,52.373751
"412","Egelantiersstraat 142 B, Amsterdam","1015 PS",425000,67,3,4.881551,52.376576
"413","Gouden Leeuw 326, Amsterdam","1103 KG",225000,53,3,4.974337,52.324304
"414","Antillenstraat 28 2, Amsterdam","1058 HB",440000,59,3,4.85128,52.359788
"415","Borneolaan 342, Amsterdam","1019 KL",450000,85,3,4.937516,52.370995
"416","Martin Vlaarkade 97, Amsterdam","1013 CS",425000,75,3,4.8814,52.388529
"417","Boeninlaan 81, Amsterdam","1102 TH",230000,60,2,4.942778,52.320576
"418","Czaar Peterstraat 45 B, Amsterdam","1018 PA",395000,69,3,4.927419,52.369015
"419","Venetiëhof 101, Amsterdam","1019 NC",550000,93,3,4.948159,52.377174
"420","Sean MacBridestraat 16, Amsterdam","1102 JW",350000,93,3,4.960086,52.318673
"421","Het Hoogt 166, Amsterdam","1025 HD",335000,92,4,4.936689,52.394567
"422","Spinaker 219, Amsterdam","1034 MK",3e+05,92,4,4.922975,52.410584
"423","Papendrechtstraat 84, Amsterdam","1106 BR",270000,84,3,4.976048,52.29785
"424","C. Kruyswijkstraat 17, Amsterdam","1022 KJ",675000,136,5,4.933513,52.407695
"425","Van Rappardstraat 41 H, Amsterdam","1051 HX",450000,73,3,4.869487,52.378402
"426","Kuipersstraat 77 H, Amsterdam","1074 EH",450000,53,2,4.90355,52.353704
"427","Magnoliastraat 10, Amsterdam","1031 VD",549000,101,4,4.907913,52.388684
"428","Dalsteindreef 270, Amsterdam","1102 WZ",265000,58,3,4.946436,52.326171
"429","Elandsgracht 84 2, Amsterdam","1016 TZ",395000,42,2,4.880279,52.369659
"430","Binnenzagerij 25, Amsterdam","1021 PJ",275000,42,2,4.916345,52.383109
"431","Jan van Riebeekstraat 3 1, Amsterdam","1057 ZW",4e+05,61,2,4.858697,52.370661
"432","Fahrenheitsingel 101, Amsterdam","1097 NX",450000,55,2,4.925792,52.344742
"433","Nieuwezijds Voorburgwal 266 2V, Amsterdam","1012 RS",395000,63,2,4.890125,52.371498
"434","Van Noordtkade 140, Amsterdam","1013 CA",335000,61,2,4.881952,52.389025
"435","Von Zesenstraat 225, Amsterdam","1093 DD",425000,82,3,4.925735,52.364335
"436","Van Bossestraat 32 I, Amsterdam","1051 JZ",325000,35,2,4.868498,52.381319
"437","Admiraal De Ruijterweg 375 I, Amsterdam","1055 MB",590000,76,4,4.851989,52.381995
"438","Spaarndammerstraat 62 1, Amsterdam","1013 SZ",345000,48,2,4.880745,52.388005
"439","Kleine Beerstraat 6, Amsterdam","1033 CR",398011,61,3,4.892619,52.413849
"440","Entrepotdok 161, Amsterdam","1018 AD",9e+05,128,4,4.921707,52.366234
"441","Johan Herman Doornstraat 26, Amsterdam","1063 ED",4e+05,78,3,4.832758,52.384105
"442","Cliostraat 21 II, Amsterdam","1077 KB",825000,100,3,4.875925,52.347368
"443","Nida Senffstraat 133 PP, Amsterdam","1095 MX",415000,69,3,4.964407,52.373057
"444","Kuipersstraat 43 HS, Amsterdam","1074 EE",685000,91,4,4.904866,52.354123
"445","Baffinstraat 13 H, Amsterdam","1057 SV",610000,77,4,4.854361,52.368574
"446","Werengouw 409, Amsterdam","1024 NZ",295000,59,3,4.946534,52.394352
"447","Eerste Van Swindenstraat 203, Amsterdam","1093 GB",339000,47,2,4.926678,52.36264
"448","Oeverpad 221, Amsterdam","1068 PJ",310000,78,3,4.806801,52.364911
"449","Pieter van der Meulenhof 14, Amsterdam","1106 WV",395000,115,6,4.995049,52.2976
"450","Madurastraat 64 1, Amsterdam","1094 GR",335000,49,2,4.934237,52.364224
"451","Burgemeester Cramergracht 67, Amsterdam","1064 AG",275000,64,2,4.832681,52.372996
"452","Van Gentstraat 6 1, Amsterdam","1055 PE",425000,69,4,4.851176,52.383021
"453","Groenhoven 864, Amsterdam","1103 NB",225000,54,2,4.975727,52.326205
"454","Joop Gerritzestraat 14, Amsterdam","1063 EK",5e+05,113,6,4.830151,52.383526
"455","Kleefkruidstraat 30, Amsterdam","1104 HX",6e+05,159,6,4.982447,52.315883
"456","Marcantilaan 225, Amsterdam","1051 NB",3e+05,41,2,4.867456,52.375584
"457","Robert Fruinlaan 24 III, Amsterdam","1065 XX",350000,68,3,4.829034,52.36373
"458","Pesetalaan 59, Amsterdam","1060 SC",475000,106,5,4.784425,52.345886
"459","Buiksloterbreek 35, Amsterdam","1034 XC",510000,91,3,4.909786,52.401616
"460","Bernard Shawsingel 336, Amsterdam","1102 VG",225000,60,2,4.946485,52.319485
"461","Nieuwe Keizersgracht 452, Amsterdam","1018 VG",545000,61,2,4.907725,52.365333
"462","Prinsengracht 1029 C, Amsterdam","1017 KP",550000,66,2,4.895062,52.361956
"463","Boris Pasternakstraat 427, Amsterdam","1102 TD",225000,43,2,4.943668,52.317544
"464","Wamelplein 158, Amsterdam","1106 DS",320000,83,3,4.988144,52.299293
"465","Merlijnstraat 16 I, Amsterdam","1055 DE",360000,49,3,4.854243,52.379548
"466","Buitendraaierij 36, Amsterdam","1021 NN",475000,113,4,4.916194,52.382138
"467","Erasmusgracht 5 2, Amsterdam","1056 BB",425000,62,3,4.848229,52.375341
"468","Sandenburch 46, Amsterdam","1082 GN",395000,81,3,4.878726,52.325783
"469","Alfred Döblinstraat 109, Amsterdam","1102 VJ",265000,71,3,4.943523,52.319589
"470","Barbusselaan 127, Amsterdam","1102 TT",230000,53,2,4.944301,52.320816
"471","Kamperfoelieweg 6, Amsterdam","1032 HN",750000,116,4,4.913949,52.392914
"472","Reyer Anslostraat 17 H, Amsterdam","1054 KT",1e+06,122,5,4.860517,52.358293
"473","Sarphatipark 136 H, Amsterdam","1073 EE",825000,112,5,4.898909,52.353937
"474","Cornelis Dopperkade 6 6A, Amsterdam","1077 KL",425000,67,2,4.877222,52.344263
"475","Formosastraat 61, Amsterdam","1094 SW",369000,56,2,4.934903,52.360041
"476","Schalk Burgerstraat 10, Amsterdam","1091 LJ",3e+05,46,3,4.920288,52.353214
"477","Korenbloemstraat 45, Amsterdam","1032 GT",389000,61,1,4.913147,52.399212
"478","Robert Fruinlaan 17 1, Amsterdam","1065 XW",3e+05,59,3,4.830106,52.363717
"479","Churchill-laan 256 III, Amsterdam","1078 EZ",8e+05,123,6,4.889777,52.347517
"480","Kea Boumanstraat 30 B, Amsterdam","1095 MA",6e+05,120,4,4.966154,52.375408
"481","Groetstraat 210, Amsterdam","1024 VG",3e+05,65,3,4.951253,52.394145
"482","Amazonenstraat 20 1, Amsterdam","1076 LJ",415000,54,2,4.862373,52.345315
"483","Groetstraat 207, Amsterdam","1024 VG",325000,77,4,4.95118,52.394073
"484","Nieuwendammerdijk 142, Amsterdam","1025 LS",775000,117,4,4.93174,52.391546
"485","Willy Mullenskade 15, Amsterdam","1087 KH",750000,158,6,5.000973,52.353136
"486","Retiefstraat 61 3, Amsterdam","1092 VZ",650000,102,4,4.922217,52.355442
"487","Eef Kamerbeekstraat 584 PP, Amsterdam","1095 MP",6e+05,108,4,4.967326,52.371556
"488","Zaagmolenstraat 9 3, Amsterdam","1052 HB",325000,46,2,4.873501,52.377961
"489","Billitonstraat 4 3, Amsterdam","1094 BC",385000,49,3,4.938408,52.365552
"490","Keizersgracht 444 C, Amsterdam","1016 GD",875000,96,5,4.884002,52.367652
"491","Lindengracht 215 A, Amsterdam","1015 KG",5e+05,52,2,4.881809,52.379633
"492","Schouwstraat 11, Amsterdam","1023 CS",9e+05,120,5,4.948739,52.386865
"493","Jesse Owenshof 27 PP, Amsterdam","1034 WT",350000,83,3,4.920989,52.403808
"494","Leerdamhof 478, Amsterdam","1108 CN",350000,118,5,4.978704,52.305543
"495","Katwijkstraat 1 a, Amsterdam","1059 XL",450000,62,2,4.847484,52.350909
"496","Ruimzicht 40, Amsterdam","1068 CM",325000,88,4,4.806863,52.362205
"497","Burgemeester De Vlugtlaan 219, Amsterdam","1063 BL",2e+05,27,2,4.818173,52.38178
"498","Bestevâerstraat 5 2, Amsterdam","1056 HD",575000,80,3,4.860112,52.372671
"499","Pieter Calandlaan 379, Amsterdam","1068 NJ",325000,81,3,4.81015,52.353861
"500","Tweede Jan van der Heijdenstraat 57 I, Amsterdam","1074 XP",4e+05,47,2,4.90153,52.355844
"501","J.C. van Epenstraat 47, Amsterdam","1019 GP",365000,59,2,4.944414,52.368343
"502","Teldershof 57, Amsterdam","1067 ML",350000,88,3,4.800286,52.380052
"503","Johan Huizingalaan 260 II, Amsterdam","1065 JM",3e+05,73,4,4.827023,52.354418
"504","Kantershof 451, Amsterdam","1104 GZ",375000,90,4,4.992035,52.316742
"505","Ruyschstraat 335, Amsterdam","1091 MR",415000,61,3,4.914021,52.358618
"506","Burgemeester Van de Pollstraat 18, Amsterdam","1064 PB",3e+05,65,4,4.831964,52.371338
"507","Slatuinenweg 37, Amsterdam","1057 KB",625000,75,3,4.863344,52.370007
"508","Steenderenstraat 72, Amsterdam","1107 LD",315000,102,5,4.983162,52.294189
"509","Gillis van Ledenberchstraat 3 HS, Amsterdam","1052 TV",325000,44,2,4.873179,52.377933
"510","Tweede Kostverlorenkade 28 2, Amsterdam","1053 TP",370000,46,2,4.865067,52.369611
"511","Mezenstraat 58, Amsterdam","1021 VL",298000,43,2,4.920012,52.386342
"512","Bankastraat 36 III, Amsterdam","1094 EG",375000,56,3,4.933659,52.364743
"513","Jan Zwanenburghof 17 H, Amsterdam","1063 JK",325000,81,3,4.819431,52.382253
"514","Niasstraat 12 B, Amsterdam","1095 VA",325000,42,2,4.940171,52.364934
"515","Hugo de Grootkade 78 2, Amsterdam","1052 LX",375000,54,2,4.870127,52.372608
"516","Harry Koningsbergerstraat 192, Amsterdam","1063 AH",295000,46,2,4.837695,52.383556
"517","Haarlemmerdijk 178 C, Amsterdam","1013 JK",375000,44,2,4.884769,52.384121
"518","Aalbersestraat 232, Amsterdam","1067 GM",295000,65,4,4.798255,52.378644
"519","Cola Debrotstraat 6, Amsterdam","1087 VJ",275000,48,2,5.014044,52.350961
"520","IJselstraat 40 2, Amsterdam","1078 CJ",345000,47,2,4.899374,52.347656
"521","Hoofdweg 947, Amsterdam","1055 SC",5e+05,82,3,4.846047,52.37786
"522","Hudsonstraat 45 II, Amsterdam","1057 RX",390000,58,2,4.853953,52.365813
"523","Wagenaarstraat 417, Amsterdam","1093 CN",4e+05,58,2,4.928824,52.363772
"524","Krimpertplein 54, Amsterdam","1104 PH",250000,70,3,4.9685,52.316374
"525","Tweede Jan Steenstraat 34 HS, Amsterdam","1073 VP",625000,72,4,4.899724,52.355854
"526","Bert Haanstrakade 222, Amsterdam","1087 DK",550000,97,3,4.996295,52.359277
"527","KNSM-laan 479 PP, Amsterdam","1019 LG",585000,87,3,4.941549,52.377347
"528","Spengenpad 34, Amsterdam","1107 WH",425000,142,6,4.977631,52.291519
"529","Amerbos 92, Amsterdam","1025 ZP",3e+05,85,3,4.945566,52.403049
"530","Van Houweningenstraat 74 2, Amsterdam","1052 TS",3e+05,45,2,4.870505,52.372951
"531","Steenderenstraat 32, Amsterdam","1107 LC",275000,73,2,4.983209,52.29383
"532","Winthontstraat 28, Amsterdam","1013 BR",525000,69,3,4.892282,52.384356
"533","Bonairestraat 73 H, Amsterdam","1058 XE",725000,88,4,4.855145,52.361963
"534","Haarlemmerdijk 178 B, Amsterdam","1013 JK",350000,48,2,4.884769,52.384121
"535","Overleg 82, Amsterdam","1068 RL",275000,57,2,4.803983,52.355143
"536","Kortrijk 171, Amsterdam","1066 TB",450000,97,4,4.802374,52.342435
"537","Van Spilbergenstraat 7 2, Amsterdam","1057 PV",325000,47,3,4.852015,52.364636
"538","Goudsbloemstraat 191 A, Amsterdam","1015 JN",425000,48,2,4.881348,52.380215
"539","Bolestein 756, Amsterdam","1081 EP",3e+05,44,2,4.859323,52.324179
"540","Rhenenhof 19, Amsterdam","1106 JC",330000,108,5,4.971123,52.297841
"541","Dickenslaan 79, Amsterdam","1102 XP",215000,43,2,4.945155,52.324953
"542","Da Costakade 171 III, Amsterdam","1053 WX",695000,88,3,4.874092,52.367502
"543","Hoogte Kadijk 110 F + PP, Amsterdam","1018 BT",750000,108,3,4.915967,52.368943
"544","Marius Meijboomstraat 21, Amsterdam","1087 LD",4e+05,79,3,5.009082,52.351935
"545","Frederik Hendrikstraat 117 E, Amsterdam","1052 HN",585000,82,3,4.872665,52.374093
"546","Eerste Boerhaavestraat 16 1, Amsterdam","1091 SB",395000,44,2,4.907275,52.358042
"547","Jisperveldstraat 427, Amsterdam","1024 AV",250000,84,3,4.951827,52.399557
"548","Admiralengracht 162 H, Amsterdam","1057 GH",725000,103,3,4.857291,52.370304
"549","Baden Powellweg 165, Amsterdam","1069 LE",275000,92,4,4.795583,52.348505
"550","Nieuwe Kerkstraat 461, Amsterdam","1018 VK",7e+05,107,3,4.908421,52.364761
"551","Kolfschotenstraat 154, Amsterdam","1104 PC",260000,83,4,4.969802,52.316702
"552","Toutenburgstraat 104, Amsterdam","1107 PX",275000,83,3,4.9688878,52.2923239
"553","Lumeijstraat 24 III, Amsterdam","1056 VX",535000,75,4,4.861328,52.372929
"554","Leeuwendalersweg 636, Amsterdam","1061 BJ",465000,94,4,4.838028,52.377317
"555","Eerste Constantijn Huygensstraat 49 I, Amsterdam","1054 BS",490000,62,3,4.87487,52.363758
"556","Van Karnebeekstraat 7, Amsterdam","1067 RG",375000,69,4,4.799561,52.37431
"557","Curaçaostraat 82 H, Amsterdam","1058 CA",425000,58,3,4.852231,52.361321
"558","Groenhoven 430, Amsterdam","1103 LM",265000,109,5,4.976731,52.325525
"559","Lodewijk Boisotstraat 6 H, Amsterdam","1057 ZN",425000,58,3,4.858639,52.369339
"560","Beemsterstraat 517, Amsterdam","1024 BE",525000,122,5,4.950277,52.396263
"561","Westlandgracht 189 IV, Amsterdam","1059 TL",625000,77,4,4.846204,52.349933
"562","Willem Kromhoutstraat 17, Amsterdam","1067 RC",380000,77,4,4.795007,52.375474
"563","Milletstraat 43 2, Amsterdam","1077 ZC",950000,148,7,4.869544,52.345822
"564","Jacob van Lennepstraat 284 H, Amsterdam","1053 KD",350000,41,2,4.863282,52.363713
"565","Robert Fruinlaan 16 III, Amsterdam","1065 XW",325000,70,4,4.830209,52.363691
"566","Potgieterstraat 21 hs, Amsterdam","1053 XP",550000,74,2,4.874332,52.369651
"567","Elpermeer 250, Amsterdam","1025 AP",3e+05,85,4,4.947646,52.402266
"568","Reizigersweg 185, Amsterdam","1033 ZP",245000,50,2,4.883861,52.417569
"569","Welnastraat 479, Amsterdam","1096 GJ",230000,28,1,4.920676,52.338759
"570","Van Spilbergenstraat 41 I, Amsterdam","1057 PX",395000,53,3,4.851991,52.365663
"571","Quellijnstraat 46 H, Amsterdam","1072 XT",365000,40,2,4.887941,52.35683
"572","Van der Helstplein 10 3, Amsterdam","1072 PH",698000,89,5,4.894517,52.351528
"573","Landzicht 23, Amsterdam","1068 ZV",495000,117,6,4.803386,52.364806
"574","Postjesweg 203, Amsterdam","1062 JN",375000,80,4,4.840015,52.363904
"575","Osdorpplein 62, Amsterdam","1068 EM",375000,88,3,4.806525,52.359424
"576","James Bradleystraat 11, Amsterdam","1086 ZM",1200000,231,8,4.979592,52.360578
"577","Admiraal De Ruijterweg 301 2, Amsterdam","1055 LW",425000,71,3,4.855635,52.37986
"578","Grevelingenstraat 4 hs, Amsterdam","1078 KN",730000,89,3,4.88956,52.345979
"579","Gibraltarstraat 68 2, Amsterdam","1055 NS",325000,48,4,4.849943,52.384166
"580","Bijlmerdreef 1099, Amsterdam","1103 TT",275000,78,3,4.972526,52.321871
"581","Keizersgracht 682 E, Amsterdam","1017 ET",535000,67,2,4.894107,52.363363
"582","Doggersbankstraat 4 1, Amsterdam","1055 NX",375000,57,3,4.850695,52.383963
"583","Dulcie Septemberpad 12, Amsterdam","1093 NK",775000,126,5,4.932925,52.358206
"584","Josephus Jittastraat 65, Amsterdam","1063 NK",375000,78,3,4.814789,52.382249
"585","Aalsmeerweg 28 1, Amsterdam","1059 AK",4e+05,54,3,4.849224,52.350198
"586","Tweede Oosterparkstraat 132 E, Amsterdam","1092 BP",3e+05,40,2,4.91803,52.357424
"587","Koolpalmhof 18, Amsterdam","1104 DH",375000,104,3,4.983057,52.318698
"588","1e Kekerstraat 119, Amsterdam","1104 VA",295000,91,3,4.981371,52.313749
"589","Ter Boede 2 hs, Amsterdam","1082 CB",345000,57,2,4.878162,52.325097
"590","Kloekhorststraat 231, Amsterdam","1104 MN",260000,71,3,4.967708,52.317064
"591","Wethouder De Vriesplantsoen 8, Amsterdam","1107 AN",225000,56,2,4.992412,52.295757
"592","Van Spilbergenstraat 68 H, Amsterdam","1057 RK",425000,50,2,4.852084,52.366236
"593","Talbotstraat 223, Amsterdam","1087 DM",475000,90,3,4.996258,52.358696
"594","Oeverpad 570, Amsterdam","1068 PM",425000,108,3,4.808883,52.363274
"595","Prinsengracht 303 F, Amsterdam","1016 GX",1170000,121,2,4.883377,52.373492
"596","Tugelaweg 40 f+PP, Amsterdam","1092 VG",520000,69,3,4.923063,52.35637
"597","Petrus Blokhof 12 II, Amsterdam","1065 XK",350000,68,4,4.829524,52.363328
"598","Gouden Leeuw 930, Amsterdam","1103 KW",289500,108,5,4.974531,52.325473
"599","Willebroekstraat 38, Amsterdam","1066 WE",480000,127,5,4.80722,52.344454
"600","Statenjachtstraat 542, Amsterdam","1034 EZ",325000,84,4,4.917985,52.405783
"601","Overleg 84, Amsterdam","1068 RL",250000,57,2,4.803968,52.355143
